,text_raw,text_clean
81,"But the little old woman walked up to Dorothy, made a low bow and said, in a sweet voice:",but the little old woman walk up to dorothy make a low bow and say in a sweet voice
82,"You are welcome, most noble Sorceress, to the land of the Munchkins.",you be welcome much noble sorceress to the land of the munchkins
83,"We are so grateful to you for having killed the Wicked Witch of the East, and for setting our people free from bondage.",we be so grateful to you for have kill the wicked witch of the east and for set our people free from bondage
84,Dorothy listened to this speech with wonder.,dorothy listen to this speech with wonder
85,"What could the little woman possibly mean by calling her a sorceress, and saying she had killed the Wicked Witch of the East?",what can the little woman possibly mean by call her a sorceress and say she have kill the wicked witch of the east
86,"Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life.",dorothy be a innocent harmless little girl who have be carry by a cyclone many mile from home and she have never kill anything in all her life
87,"But the little woman evidently expected her to answer; so Dorothy said, with hesitation, You are very kind, but there must be some mistake.",but the little woman evidently expect her to answer so dorothy say with hesitation you be very kind but there must be some mistake
88,I have not killed anything.,i have not kill anything
89,"Your house did, anyway, replied the little old woman, with a laugh, and that is the same thing.",your house do anyway reply the little old woman with a laugh and that be the same thing
90,See!,see
91,"she continued, pointing to the corner of the house.",she continue point to the corner of the house
92,"There are her two feet, still sticking out from under a block of wood.",there be her two foot still stick out from under a block of wood
93,"Dorothy looked, and gave a little cry of fright.",dorothy look and give a little cry of fright
94,"There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes.",there indeed just under the corner of the great beam the house rest on two foot be stick out shoe in silver shoe with point toe
95,"Oh, dear!",oh dear
96,"Oh, dear!",oh dear
97,"cried Dorothy, clasping her hands together in dismay.",cry dorothy clasp her hand together in dismay
98,The house must have fallen on her.,the house must have fall on her
99,Whatever shall we do?,whatever shall we do
100,"There is nothing to be done, said the little woman calmly.",there be nothing to be do say the little woman calmly
101,But who was she?,but who be she
102,asked Dorothy.,ask dorothy
103,"She was the Wicked Witch of the East, as I said, answered the little woman.",she be the wicked witch of the east a i say answer the little woman
104,"She has held all the Munchkins in bondage for many years, making them slave for her night and day.",she have hold all the munchkins in bondage for many year make them slave for her night and day
105,"Now they are all set free, and are grateful to you for the favor.",now they be all set free and be grateful to you for the favor
106,Who are the Munchkins?,who be the munchkins
107,inquired Dorothy.,inquire dorothy
108,They are the people who live in this land of the East where the Wicked Witch ruled.,they be the people who live in this land of the east where the wicked witch rule
109,Are you a Munchkin?,be you a munchkin
110,asked Dorothy.,ask dorothy
111,"No, but I am their friend, although I live in the land of the North.",no but i be their friend although i live in the land of the north
112,"When they saw the Witch of the East was dead the Munchkins sent a swift messenger to me, and I came at once.",when they see the witch of the east be dead the munchkins send a swift messenger to me and i come at once
113,I am the Witch of the North.,i be the witch of the north
114,"Oh, gracious!",oh gracious
115,cried Dorothy.,cry dorothy
116,Are you a real witch?,be you a real witch
117,"Yes, indeed, answered the little woman.",yes indeed answer the little woman
118,"But I am a good witch, and the people love me.",but i be a good witch and the people love me
119,"I am not as powerful as the Wicked Witch was who ruled here, or I should have set the people free myself.",i be not a powerful a the wicked witch be who rule here or i should have set the people free myself
120,"But I thought all witches were wicked, said the girl, who was half frightened at facing a real witch.",but i think all witch be wicked say the girl who be half frighten at face a real witch
121,"Oh, no, that is a great mistake.",oh no that be a great mistake
122,"There were only four witches in all the Land of Oz, and two of them, those who live in the North and the South, are good witches.",there be only four witch in all the land of oz and two of them that who live in the north and the south be good witch
123,"I know this is true, for I am one of them myself, and cannot be mistaken.",i know this be true for i be one of them myself and can not be mistake
124,"Those who dwelt in the East and the West were, indeed, wicked witches; but now that you have killed one of them, there is but one Wicked Witch in all the Land of Ozthe one who lives in the West.",that who dwell in the east and the west be indeed wicked witch but now that you have kill one of them there be but one wicked witch in all the land of ozthe one who live in the west
125,"But, said Dorothy, after a moments thought, Aunt Em has told me that the witches were all deadyears and years ago.",but say dorothy after a moment think aunt them have tell me that the witch be all deadyears and year ago
126,Who is Aunt Em?,who be aunt them
127,inquired the little old woman.,inquire the little old woman
128,"She is my aunt who lives in Kansas, where I came from.",she be my aunt who live in kansas where i come from
129,"The Witch of the North seemed to think for a time, with her head bowed and her eyes upon the ground.",the witch of the north seem to think for a time with her head bow and her eye upon the grind
130,"Then she looked up and said, I do not know where Kansas is, for I have never heard that country mentioned before.",then she look up and say i do not know where kansas be for i have never hear that country mention before
131,"But tell me, is it a civilized country?",but tell me be it a civilize country
132,"Oh, yes, replied Dorothy.",oh yes reply dorothy
133,Then that accounts for it.,then that account for it
134,"In the civilized countries I believe there are no witches left, nor wizards, nor sorceresses, nor magicians.",in the civilize country i believe there be no witch leave nor wizard nor sorceress nor magician
135,"But, you see, the Land of Oz has never been civilized, for we are cut off from all the rest of the world.",but you see the land of oz have never be civilize for we be cut off from all the rest of the world
136,Therefore we still have witches and wizards amongst us.,therefore we still have witch and wizard amongst us
137,Who are the wizards?,who be the wizard
138,asked Dorothy.,ask dorothy
139,"Oz himself is the Great Wizard, answered the Witch, sinking her voice to a whisper.",oz himself be the great wizard answer the witch sink her voice to a whisper
140,He is more powerful than all the rest of us together.,he be much powerful than all the rest of us together
141,He lives in the City of Emeralds.,he live in the city of emerald
142,"Dorothy was going to ask another question, but just then the Munchkins, who had been standing silently by, gave a loud shout and pointed to the corner of the house where the Wicked Witch had been lying.",dorothy be go to ask another question but just then the munchkins who have be stand silently by give a loud shout and point to the corner of the house where the wicked witch have be lie
143,What is it?,what be it
144,"asked the little old woman, and looked, and began to laugh.",ask the little old woman and look and begin to laugh
145,"The feet of the dead Witch had disappeared entirely, and nothing was left but the silver shoes.",the foot of the dead witch have disappear entirely and nothing be leave but the silver shoe
146,"She was so old, explained the Witch of the North, that she dried up quickly in the sun.",she be so old explain the witch of the north that she dry up quickly in the sun
147,That is the end of her.,that be the end of her
148,"But the silver shoes are yours, and you shall have them to wear.",but the silver shoe be yours and you shall have them to wear
149,"She reached down and picked up the shoes, and after shaking the dust out of them handed them to Dorothy.",she reach down and pick up the shoe and after shake the dust out of them hand them to dorothy
150,"The Witch of the East was proud of those silver shoes, said one of the Munchkins, and there is some charm connected with them; but what it is we never knew.",the witch of the east be proud of that silver shoe say one of the munchkins and there be some charm connect with them but what it be we never know
151,Dorothy carried the shoes into the house and placed them on the table.,dorothy carry the shoe into the house and place them on the table
152,Then she came out again to the Munchkins and said:,then she come out again to the munchkins and say
153,"I am anxious to get back to my aunt and uncle, for I am sure they will worry about me.",i be anxious to get back to my aunt and uncle for i be sure they will worry about me
154,Can you help me find my way?,can you help me find my way
155,"The Munchkins and the Witch first looked at one another, and then at Dorothy, and then shook their heads.",the munchkins and the witch ﻿1 look at one another and then at dorothy and then shake their head
156,"At the East, not far from here, said one, there is a great desert, and none could live to cross it.",at the east not far from here say one there be a great desert and none can live to cross it
157,"It is the same at the South, said another, for I have been there and seen it.",it be the same at the south say another for i have be there and see it
158,The South is the country of the Quadlings.,the south be the country of the quadlings
159,"I am told, said the third man, that it is the same at the West.",i be tell say the 3 man that it be the same at the west
160,"And that country, where the Winkies live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way.",and that country where the winkies live be rule by the wicked witch of the west who would make you her slave if you pass her way
161,"The North is my home, said the old lady, and at its edge is the same great desert that surrounds this Land of Oz.",the north be my home say the old lady and at its edge be the same great desert that surround this land of oz
162,"Im afraid, my dear, you will have to live with us.",i be afraid my dear you will have to live with us
163,"Dorothy began to sob at this, for she felt lonely among all these strange people.",dorothy begin to sob at this for she feel lonely among all this strange people
164,"Her tears seemed to grieve the kind-hearted Munchkins, for they immediately took out their handkerchiefs and began to weep also.",her tear seem to grieve the kind hearted munchkins for they immediately take out their handkerchief and begin to weep also
165,"As for the little old woman, she took off her cap and balanced the point on the end of her nose, while she counted One, two, three in a solemn voice.",a for the little old woman she take off her cap and balance the point on the end of her nose while she count one two three in a solemn voice
166,"At once the cap changed to a slate, on which was written in big, white chalk marks:",at once the cap change to a slate on which be write in big white chalk mark
167,LET DOROTHY GO TO THE CITY OF EMERALDS,let dorothy go to the city of emerald
168,"The little old woman took the slate from her nose, and having read the words on it, asked, Is your name Dorothy, my dear?",the little old woman take the slate from her nose and have read the word on it ask be your name dorothy my dear
169,"Yes, answered the child, looking up and drying her tears.",yes answer the child look up and dry her tear
170,Then you must go to the City of Emeralds.,then you must go to the city of emerald
171,Perhaps Oz will help you.,perhaps oz will help you
172,Where is this city?,where be this city
173,asked Dorothy.,ask dorothy
174,"It is exactly in the center of the country, and is ruled by Oz, the Great Wizard I told you of.",it be exactly in the center of the country and be rule by oz the great wizard i tell you of
175,Is he a good man?,be he a good man
176,inquired the girl anxiously.,inquire the girl anxiously
177,He is a good Wizard.,he be a good wizard
178,"Whether he is a man or not I cannot tell, for I have never seen him.",whether he be a man or not i can not tell for i have never see him
179,How can I get there?,how can i get there
180,asked Dorothy.,ask dorothy
181,You must walk.,you must walk
182,"It is a long journey, through a country that is sometimes pleasant and sometimes dark and terrible.",it be a long journey through a country that be sometimes pleasant and sometimes dark and terrible
183,"However, I will use all the magic arts I know of to keep you from harm.",however i will use all the magic art i know of to keep you from harm
184,Wont you go with me?,will not you go with me
185,"pleaded the girl, who had begun to look upon the little old woman as her only friend.",plead the girl who have begin to look upon the little old woman a her only friend
186,"No, I cannot do that, she replied, but I will give you my kiss, and no one will dare injure a person who has been kissed by the Witch of the North.",no i can not do that she reply but i will give you my kiss and no one will dare injure a person who have be kiss by the witch of the north
187,She came close to Dorothy and kissed her gently on the forehead.,she come close to dorothy and kiss her gently on the forehead
188,"Where her lips touched the girl they left a round, shining mark, as Dorothy found out soon after.",where her lip touch the girl they leave a round shine mark a dorothy find out soon after
189,"The road to the City of Emeralds is paved with yellow brick, said the Witch, so you cannot miss it.",the road to the city of emerald be pave with yellow brick say the witch so you can not miss it
190,"When you get to Oz do not be afraid of him, but tell your story and ask him to help you.",when you get to oz do not be afraid of him but tell your story and ask him to help you
191,"Good-bye, my dear.",good bye my dear
192,"The three Munchkins bowed low to her and wished her a pleasant journey, after which they walked away through the trees.",the three munchkins bow low to her and wish her a pleasant journey after which they walk away through the tree
193,"The Witch gave Dorothy a friendly little nod, whirled around on her left heel three times, and straightway disappeared, much to the surprise of little Toto, who barked after her loudly enough when she had gone, because he had been afraid even to growl while she stood by.",the witch give dorothy a friendly little nod whirl around on her leave heel three time and straightway disappear much to the surprise of little toto who bark after her loudly enough when she have go because he have be afraid even to growl while she stand by
194,"But Dorothy, knowing her to be a witch, had expected her to disappear in just that way, and was not surprised in the least.",but dorothy know her to be a witch have expect her to disappear in just that way and be not surprise in the little
195,CHAPTER III,chapter iii
196,How Dorothy Saved the Scarecrow,how dorothy save the scarecrow
197,When Dorothy was left alone she began to feel hungry.,when dorothy be leave alone she begin to feel hungry
198,"So she went to the cupboard and cut herself some bread, which she spread with butter.",so she go to the cupboard and cut herself some bread which she spread with butter
199,"She gave some to Toto, and taking a pail from the shelf she carried it down to the little brook and filled it with clear, sparkling water.",she give some to toto and take a pail from the shelf she carry it down to the little brook and fill it with clear sparkle water
200,Toto ran over to the trees and began to bark at the birds sitting there.,toto run over to the tree and begin to bark at the bird sit there
201,"Dorothy went to get him, and saw such delicious fruit hanging from the branches that she gathered some of it, finding it just what she wanted to help out her breakfast.",dorothy go to get him and see such delicious fruit hang from the branch that she gather some of it find it just what she want to help out her breakfast
202,"Then she went back to the house, and having helped herself and Toto to a good drink of the cool, clear water, she set about making ready for the journey to the City of Emeralds.",then she go back to the house and have help herself and toto to a good drink of the cool clear water she set about make ready for the journey to the city of emerald
203,"Dorothy had only one other dress, but that happened to be clean and was hanging on a peg beside her bed.",dorothy have only one other dress but that happen to be clean and be hang on a peg beside her bed
204,"It was gingham, with checks of white and blue; and although the blue was somewhat faded with many washings, it was still a pretty frock.",it be gingham with check of white and blue and although the blue be somewhat fade with many washings it be still a pretty frock
205,"The girl washed herself carefully, dressed herself in the clean gingham, and tied her pink sunbonnet on her head.",the girl wash herself carefully dress herself in the clean gingham and tie her pink sunbonnet on her head
206,"She took a little basket and filled it with bread from the cupboard, laying a white cloth over the top.",she take a little basket and fill it with bread from the cupboard lay a white cloth over the top
207,Then she looked down at her feet and noticed how old and worn her shoes were.,then she look down at her foot and notice how old and wear her shoe be
208,"They surely will never do for a long journey, Toto, she said.",they surely will never do for a long journey toto she say
209,And Toto looked up into her face with his little black eyes and wagged his tail to show he knew what she meant.,and toto look up into her face with his little black eye and wag his tail to show he know what she mean
210,At that moment Dorothy saw lying on the table the silver shoes that had belonged to the Witch of the East.,at that moment dorothy see lie on the table the silver shoe that have belong to the witch of the east
211,"I wonder if they will fit me, she said to Toto.",i wonder if they will fit me she say to toto
212,"They would be just the thing to take a long walk in, for they could not wear out.",they would be just the thing to take a long walk in for they can not wear out
213,"She took off her old leather shoes and tried on the silver ones, which fitted her as well as if they had been made for her.",she take off her old leather shoe and try on the silver one which fit her a good a if they have be make for her
214,Finally she picked up her basket.,finally she pick up her basket
215,"Come along, Toto, she said.",come along toto she say
216,We will go to the Emerald City and ask the Great Oz how to get back to Kansas again.,we will go to the emerald city and ask the great oz how to get back to kansas again
217,"She closed the door, locked it, and put the key carefully in the pocket of her dress.",she close the door lock it and put the key carefully in the pocket of her dress
218,"And so, with Toto trotting along soberly behind her, she started on her journey.",and so with toto trot along soberly behind her she start on her journey
219,"There were several roads nearby, but it did not take her long to find the one paved with yellow bricks.",there be several road nearby but it do not take her long to find the one pave with yellow brick
220,"Within a short time she was walking briskly toward the Emerald City, her silver shoes tinkling merrily on the hard, yellow road-bed.",within a short time she be walk briskly toward the emerald city her silver shoe tinkle merrily on the hard yellow road bed
221,"The sun shone bright and the birds sang sweetly, and Dorothy did not feel nearly so bad as you might think a little girl would who had been suddenly whisked away from her own country and set down in the midst of a strange land.",the sun shine bright and the bird sing sweetly and dorothy do not feel nearly so bad a you may think a little girl would who have be suddenly whisk away from her own country and set down in the midst of a strange land
222,"She was surprised, as she walked along, to see how pretty the country was about her.",she be surprise a she walk along to see how pretty the country be about her
223,"There were neat fences at the sides of the road, painted a dainty blue color, and beyond them were fields of grain and vegetables in abundance.",there be neat fence at the side of the road paint a dainty blue color and beyond them be field of grain and vegetable in abundance
224,Evidently the Munchkins were good farmers and able to raise large crops.,evidently the munchkins be good farmer and able to raise large crop
225,"Once in a while she would pass a house, and the people came out to look at her and bow low as she went by; for everyone knew she had been the means of destroying the Wicked Witch and setting them free from bondage.",once in a while she would pass a house and the people come out to look at her and bow low a she go by for everyone know she have be the mean of destroy the wicked witch and set them free from bondage
226,"The houses of the Munchkins were odd-looking dwellings, for each was round, with a big dome for a roof.",the house of the munchkins be odd look dwelling for each be round with a big dome for a roof
227,"All were painted blue, for in this country of the East blue was the favorite color.",all be paint blue for in this country of the east blue be the favorite color
228,"Toward evening, when Dorothy was tired with her long walk and began to wonder where she should pass the night, she came to a house rather larger than the rest.",toward even when dorothy be tire with her long walk and begin to wonder where she should pass the night she come to a house rather large than the rest
229,On the green lawn before it many men and women were dancing.,on the green lawn before it many man and woman be dance
230,"Five little fiddlers played as loudly as possible, and the people were laughing and singing, while a big table near by was loaded with delicious fruits and nuts, pies and cakes, and many other good things to eat.",five little fiddler play a loudly a possible and the people be laugh and singe while a big table near by be load with delicious fruit and nut pie and cake and many other good thing to eat
231,"The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.",the people greet dorothy kindly and invite her to supper and to pass the night with them for this be the home of one of the rich munchkins in the land and his friend be gather with him to celebrate their freedom from the bondage of the wicked witch
232,"Dorothy ate a hearty supper and was waited upon by the rich Munchkin himself, whose name was Boq.",dorothy eat a hearty supper and be wait upon by the rich munchkin himself whose name be boq
233,Then she sat upon a settee and watched the people dance.,then she sit upon a settee and watch the people dance
234,"When Boq saw her silver shoes he said, You must be a great sorceress.",when boq see her silver shoe he say you must be a great sorceress
235,Why?,why
236,asked the girl.,ask the girl
237,Because you wear silver shoes and have killed the Wicked Witch.,because you wear silver shoe and have kill the wicked witch
238,"Besides, you have white in your frock, and only witches and sorceresses wear white.",besides you have white in your frock and only witch and sorceress wear white
239,"My dress is blue and white checked, said Dorothy, smoothing out the wrinkles in it.",my dress be blue and white check say dorothy smooth out the wrinkle in it
240,"It is kind of you to wear that, said Boq.",it be kind of you to wear that say boq
241,"Blue is the color of the Munchkins, and white is the witch color.",blue be the color of the munchkins and white be the witch color
242,So we know you are a friendly witch.,so we know you be a friendly witch
243,"Dorothy did not know what to say to this, for all the people seemed to think her a witch, and she knew very well she was only an ordinary little girl who had come by the chance of a cyclone into a strange land.",dorothy do not know what to say to this for all the people seem to think her a witch and she know very good she be only a ordinary little girl who have come by the chance of a cyclone into a strange land
